,x,y,S-S22
467,-478.47,-145.142,-0.225155
468,-470.772,-168.445,-0.216322
469,-461.94,-191.342,-0.206459
470,-451.995,-213.778,-0.195661
471,-440.961,-235.698,-0.183934
472,-428.864,-257.051,-0.17079
473,-415.735,-277.785,-0.156117
474,-401.604,-297.85,-0.140535
475,-386.505,-317.197,-0.125199
476,-370.476,-335.779,-0.111472
477,-335.876,-335.876,
478,-318.198,-318.198,
479,-300.52,-300.52,
480,-282.843,-282.843,
481,-265.165,-265.165,
482,-247.487,-247.487,
483,-229.81,-229.81,
484,-212.132,-212.132,
485,-194.454,-194.454,
486,-176.777,-176.777,
487,-159.099,-159.099,
488,-141.421,-141.421,
489,-123.744,-123.744,
490,-106.066,-106.066,
491,-88.3884,-88.3884,
492,-70.7107,-70.7107,
493,-53.033,-53.033,
494,-35.3553,-35.3553,
495,-17.6777,-17.6777,
496,0.0,25.0,
497,0.0,50.0,
498,0.0,75.0,
499,0.0,100.0,
500,0.0,125.0,
501,0.0,150.0,
502,0.0,175.0,
503,0.0,200.0,
504,0.0,225.0,
505,0.0,250.0,
506,0.0,275.0,
507,0.0,300.0,
508,0.0,325.0,
509,0.0,350.0,
510,0.0,375.0,
511,0.0,400.0,
512,0.0,425.0,
513,0.0,450.0,
514,0.0,475.0,
515,-24.5338,499.398,-0.00171826
516,-49.0086,497.592,-0.00218141
517,-73.3652,494.588,-0.00302049
518,-97.5452,490.393,-0.00434167
519,-121.49,485.016,-0.00613782
520,-145.142,478.47,-0.00856191
521,-168.445,470.772,-0.0116818
522,-191.342,461.94,-0.015614
523,-213.778,451.995,-0.0204652
524,-235.698,440.961,-0.0263181
525,-257.051,428.864,-0.0332804
526,-277.785,415.735,-0.0415206
527,-297.85,401.604,-0.0507627
528,-317.197,386.505,-0.0614021
529,-335.779,370.476,-0.0750102
530,-371.468,371.468,-0.0894325
531,-389.851,389.851,-0.0953594
532,-408.714,408.714,-0.101281
533,-428.07,428.07,-0.105903
534,-447.931,447.931,-0.109012
535,-468.311,468.311,-0.11084
536,-489.223,489.223,-0.112155
537,-510.682,510.682,-0.113152
538,-532.701,532.701,-0.113673
539,-555.295,555.295,-0.113826
540,-578.48,578.48,-0.113695
541,-602.27,602.27,-0.113346
542,-626.681,626.681,-0.112827
543,-651.73,651.73,-0.112175
544,-677.433,677.433,-0.111427
545,-703.808,703.808,-0.110619
546,-730.872,730.872,-0.109682
547,-758.642,758.642,-0.108693
548,-787.138,787.138,-0.107717
549,-816.378,816.378,-0.106697
550,-846.382,846.382,-0.105661
551,-877.17,877.17,-0.104584
552,-908.762,908.762,-0.103527
553,-941.179,941.179,-0.102438
554,-974.442,974.442,-0.101316
555,-1008.58,1008.58,-0.100194
556,-1043.6,1043.6,-0.0990808
557,-1079.54,1079.54,-0.0979783
558,-1116.42,1116.42,-0.0969232
559,-1154.26,1154.26,-0.0956436
560,-1193.09,1193.09,-0.0944043
561,-1232.93,1232.93,-0.0933112
562,-1273.81,1273.81,-0.0921236
563,-1315.77,1315.77,-0.0909463
564,-1358.82,1358.82,-0.0896996
565,-1402.99,1402.99,-0.0884973
566,-1448.31,1448.31,-0.0872801
567,-1494.82,1494.82,-0.0859618
568,-1542.55,1542.55,-0.0847215
569,-1591.52,1591.52,-0.0834769
570,-1641.77,1641.77,-0.0821544
571,-1693.34,1693.34,-0.0808649
572,-1746.25,1746.25,-0.0794792
573,-1800.54,1800.54,-0.078153
574,-1856.25,1856.25,-0.0763474
575,-1913.41,1913.41,-0.0751679
576,-1972.07,1972.07,-0.0736369
577,-2032.26,2032.26,-0.072065
